Old Order	Current order	Taxon Order	Category	English Name	French Name	Scientific Name	Order	Family	Taxon	Location	S/P	Date	LocID	SubID	Exotic	Countable
44	1239	17504	species	Superb Lyrebird	Mnure superbe	Menura novaehollandiae	Passeriformes	Menuridae (Lyrebirds)	17504	Mt St Leonard	AU-VIC	13-Nov-25	L2552533	S284210428		1
78	925	12260	species	Superb Parrot	Perruche de Barraband	Polytelis swainsonii	Psittaciformes	Psittaculidae (Old World Parrots)	12260	"Island Sanctuary, Deniliquin"	AU-NSW	09-Nov-25	L2747615	S283628839		1
1975	1588	27965	species	Superb Starling	Choucador superbe	Lamprotornis superbus	Passeriformes	Sturnidae (Starlings)	27965	Serengeti NP--Seronera	TZ-13	12-Aug-05	L1327024	S15379241		1
1204	1937	34708	species	Superciliaried Hemispingus	Tangara brid	Thlypopsis superciliaris	Passeriformes	Thraupidae (Tanagers and Allies)	34708	Reserva Ecolgica Ro Blanco--Lodge	CO-CAL	18-Dec-14	L1252500	S20954319		1
1512	63	728	species	Surf Scoter	Macreuse  front blanc	Melanitta perspicillata	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"	728	Point Pelee NP--Tip	CA-ON	03-May-14	L611224	S18195574		1
1045	716	8504	species	Swainson's Hawk	Buse de Swainson	Buteo swainsoni	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8504	"8.4017x-80.2638 - Nov 14, 2016, 8:47 AM"	PA-2	14-Nov-16	L5082460	S32557008		1
1471	113	1836	species	Swainson's Spurfowl	Francolin de Swainson	Pternistis swainsonii	Galliformes	"Phasianidae (Pheasants, Grouse, and Allies)"	1836	Kruger NP--Letaba-Olifants Rd	ZA-LP	25-Sep-14	L2355950	S20317879		1
1145	1611	28324	species	Swainson's Thrush	Grive  dos olive	Catharus ustulatus	Passeriformes	Turdidae (Thrushes and Allies)	28324	Maumee Bay SP--Boardwalk	US-OH	13-May-15	L339541	S23427346		1
730	1986	35137	species	Swallow Tanager	Tersine hirondelle	Tersina viridis	Passeriformes	Thraupidae (Tanagers and Allies)	35137	Brasso Seco	TT-TUP	08-Apr-18	L686801	S44374846		1
2036	479	6446	species	Swallow-tailed Gull	Mouette  queue fourchue	Creagrus furcatus	Charadriiformes	"Laridae (Gulls, Terns, and Skimmers)"	6446	Espaola--Baha Gardner	EC-W	06-Jul-04	L471682	S102080263		1
939	651	7921	species	Swallow-tailed Kite	Naucler  queue fourchue	Elanoides forficatus	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	7921	Lajas Blancas	PA-EM	03-Apr-17	L5683119	S35694556		1
805	685	8315	species	Swamp Harrier	Busard de Gould	Circus approximans	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8315	Old Ocean Road at Princetown	AU-VIC	22-Oct-17	L1431899	S40059483		1
1129	1791	33315	species	Swamp Sparrow	Bruant des marais	Melospiza georgiana	Passeriformes	Passerellidae (New World Sparrows)	33315	St. Marks NWR--East River Pool	US-FL	13-Nov-15	L3109497	S25816538		1
13	931	12445	species	Swift Parrot	Perruche de Latham	Lathamus discolor	Psittaciformes	Psittaculidae (Old World Parrots)	12445	Hundred Acre Hideaway (restricted access)	AU-TAS	19-Nov-25	L29756764	S285116367		1
611	280	4667	species	Sword-billed Hummingbird	Colibri porte-pe	Ensifera ensifera	Apodiformes	Trochilidae (Hummingbirds)	4667	San Jorge Ecolodge (Quito)	EC-P	03-Apr-19	L895012	S54519444		1
424	290	4724	species	Talamanca Hummingbird	Colibri de la Talamanca	Eugenes spectabilis	Apodiformes	Trochilidae (Hummingbirds)	4724	Paraiso Quetzal Lodge - Km 70	CR-SJ	03-Jun-22	L1457094	S112058480		1
25	356	5450	species	Tasmanian Nativehen	Gallinule de Tasmanie	Tribonyx mortierii	Gruiformes	"Rallidae (Rails, Gallinules, and Coots)"	5450	Kingston Stormwater Wetlands	AU-TAS	18-Nov-25	L2498851	S284976571		1
18	1295	18306	species	Tasmanian Scrubwren	Sricorne brun	Sericornis humilis	Passeriformes	Acanthizidae (Thornbills and Allies)	18306	Inala (restricted access)	AU-TAS	19-Nov-25	L942969	S285114568		1
17	1303	18398	species	Tasmanian Thornbill	Acanthize de Tasmanie	Acanthiza ewingii	Passeriformes	Acanthizidae (Thornbills and Allies)	18398	Inala (restricted access)	AU-TAS	19-Nov-25	L942969	S285114568		1
609	1022	14286	species	Tawny Antpitta	Grallaire de Quito	Grallaria quitensis	Passeriformes	Grallariidae (Antpittas)	14286	San Jorge Ecolodge (Quito)	EC-P	03-Apr-19	L895012	S54519444		1
1330	669	8054	species	Tawny Eagle	Aigle ravisseur	Aquila rapax	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8054	Chobe River--west of Kasane	BW-NW	09-Oct-14	L2538778	S20699076		1
7	216	3768	species	Tawny Frogmouth	Podarge gris	Podargus strigoides	Podargiformes	Podargidae (Frogmouths)	3768	Knocklofty Reserve	AU-TAS	22-Nov-25	L2548533	S285513715		1
1084	1727	32049	species	Tawny-capped Euphonia	Organiste  couronne rousse	Euphonia anneae	Passeriformes	"Fringillidae (Finches, Euphonias, and Allies)"	32049	Camino a La Mesa	PA-2	11-Nov-16	L2149551	S32494405		1
1083	1940	34775	species	Tawny-crested Tanager	Tangara de Delattre	Tachyphonus delatrii	Passeriformes	Thraupidae (Tanagers and Allies)	34775	Camino a La Mesa	PA-2	11-Nov-16	L2149551	S32494405		1
1051	1527	27069	species	Tawny-faced Gnatwren	Microbate cendr	Microbates cinereiventris	Passeriformes	Polioptilidae (Gnatcatchers)	27069	Camino La Mesa-Rio Indio	PA-2	13-Nov-16	L499992	S32526147		1
1411	1468	23278	species	Tawny-flanked Prinia	Prinia modeste	Prinia subflava	Passeriformes	Cisticolidae (Cisticolas and Allies)	23278	Kruger NP--southern section (please be more specific)	ZA-MP	28-Sep-14	L972510	S20390197		1
1683	1037	14660	species	Tawny-winged Woodcreeper	Grimpar  ailes rousses	Dendrocincla anabatina	Passeriformes	Furnariidae (Ovenbirds and Woodcreepers)	14660	Cockscomb Basin Wildlife Sanctuary	BZ-SC	02-Dec-11	L330946	S15367676		1
1324	468	6325	species	Temminck's Courser	Courvite de Temminck	Cursorius temminckii	Charadriiformes	Glareolidae (Pratincoles and Coursers)	6325	Moremi--Khwai River (north side)	BW-NW	12-Oct-14	L1220375	S20696861		1
1490	1859	33972	species	Tennessee Warbler	Paruline obscure	Leiothlypis peregrina	Passeriformes	Parulidae (New World Warblers)	33972	Britannia CA--Mud Lake	CA-ON	01-Sep-14	L1795397	S19634457		1
1283	1724	32033	species	Thick-billed Euphonia	Organiste  bec pais	Euphonia laniirostris	Passeriformes	"Fringillidae (Finches, Euphonias, and Allies)"	32033	Represa Cameguadua	CO-CAL	16-Dec-14	L3786045	S20932040		1
128	1246	17616	species	Thick-billed Grasswren	Amytis  bec fort	Amytornis modestus	Passeriformes	Maluridae (Fairywrens)	17616	Callanna Creek at Oodnadatta Track	AU-SA	04-Nov-25	L2553205	S282802858		1
1753	2014	35546	species	Thick-billed Seed-Finch	Sporophile  bec fort	Sporophila funerea	Passeriformes	Thraupidae (Tanagers and Allies)	35546	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
358	1025	14315	species	Thicket Antpitta	Grallaire buissonnire	Myrmothera dives	Passeriformes	Grallariidae (Antpittas)	14315	Arenal Observatory Lodge	CR-A	10-Jun-22	L436229	S112585041		1
1993	404	5845	species	Three-banded Plover	Pluvier  triple collier	Thinornis tricollaris	Charadriiformes	Charadriidae (Plovers and Lapwings)	5845	Lake Eyasi	TZ-01	10-Aug-05	L2082292	S15379188		1
574	1896	34270	species	Three-striped Warbler	Paruline triligne	Basileuterus tristriatus	Passeriformes	Parulidae (New World Warblers)	34270	Tandayapa--San Jorge Tandayapa	EC-P	06-Apr-19	L1907810	S54617813		1
348	1107	15940	species	Three-wattled Bellbird	Araponga tricaroncul	Procnias tricarunculatus	Passeriformes	Cotingidae (Cotingas)	15940	Monteverde--Hotel de Montaa Monteverde	CR-P	12-Jun-22	L1850443	S112814927		1
410	1540	27299	species	Timberline Wren	Troglodyte des volcans	Thryorchilus browni	Passeriformes	Troglodytidae (Wrens)	27299	PN Los Quetzales--Cerro Buenavista communication towers	CR-SJ	03-Jun-22	L1126301	S112058530		1
925	688	8334	species	Tiny Hawk	pervier nain	Microspizias superciliosus	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8334	Quebrada Flix	PA-5	04-Apr-17	L3384849	S35694159		1
143	1767	32989	species	Tocuyo Sparrow	Tohi de Tocuyo	Arremonops tocuyensis	Passeriformes	Passerellidae (New World Sparrows)	32989	Va a La Plazoleta	CO-LAG	09-Apr-25	L6492602	S224196660		1
1061	787	9846	species	Tody Motmot	Motmot nain	Hylomanes momotula	Coraciiformes	Momotidae (Motmots)	9846	"8.6042x-80.0880 - Nov 13, 2016, 7:51 AM"	PA-8	13-Nov-16	L5079093	S32519336		1
831	163	2844	species	Topknot Pigeon	Carpophage  double huppe	Lopholaimus antarcticus	Columbiformes	Columbidae (Pigeons and Doves)	2844	Booderee National Park--Booderee Botanic Gardens	AU-NSW	14-Oct-17	L2541277	S39909622		1
2026	30	468	species	Torrent Duck	Merganette des torrents	Merganetta armata	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"	468	Hotel Tinalandia	EC-SD	10-Jul-04	L489494	S102090106		1
1288	1166	16746	species	Torrent Tyrannulet	Tyranneau des torrents	Serpophaga cinerea	Passeriformes	Tyrannidae (Tyrant Flycatchers)	16746	Represa Cameguadua	CO-CAL	16-Dec-14	L3786045	S20932040		1
572	844	10832	species	Toucan Barbet	Cabzon toucan	Semnornis ramphastinus	Piciformes	Semnornithidae (Toucan-Barbets)	10832	Tandayapa--San Jorge Tandayapa	EC-P	06-Apr-19	L1907810	S54629295		1
1274	252	4414	species	Tourmaline Sunangel	Hliange tourmaline	Heliangelus exortis	Apodiformes	Trochilidae (Hummingbirds)	4414	PNN Los Nevados--Centro de Visitantes La Cueva	CO-CAL	17-Dec-14	L7895434	S20941471		1
1563	1890	34206	species	Townsend's Warbler	Paruline de Townsend	Setophaga townsendi	Passeriformes	Parulidae (New World Warblers)	34206	Balboa Park--general area	US-CA	14-Oct-13	L337602	S15405311		1
809	1506	24276	species	Tree Martin	Hirondelle des arbres	Petrochelidon nigricans	Passeriformes	Hirundinidae (Swallows)	24276	Point Cook Coastal Park--The Tower	AU-VIC	21-Oct-17	L3025678	S40053163		1
1609	1487	24064	species	Tree Swallow	Hirondelle bicolore	Tachycineta bicolor	Passeriformes	Hirundinidae (Swallows)	24064	Point Pelee NP* general (use more precise loc.)	CA-ON	02-May-13	L131153	S15364735		1
1890	603	7630	species	Tricolored Heron	Aigrette tricolore	Egretta tricolor	Pelecaniformes	"Ardeidae (Herons, Egrets, and Bitterns)"	7630	Sand point - Playa Salguero	CO-MAG	27-Dec-09	L17888609	S103520459		1
199	1719	32011	species	Trinidad Euphonia	Organiste de Trinidad	Euphonia trinitatis	Passeriformes	"Fringillidae (Finches, Euphonias, and Allies)"	32011	Matute Birding Nature Reserve	CO-BOL	01-Apr-25	L24053056	S222264034		1
752	790	9869	species	Trinidad Motmot	Motmot de Trinidad	Momotus bahamensis	Coraciiformes	Momotidae (Motmots)	9869	Aripo Livestock (Agriculture Research) Station	TT-TUP	06-Apr-18	L621687	S44400850		1
201	1529	27107	species	Tropical Gnatcatcher	Gobemoucheron tropical	Polioptila plumbea	Passeriformes	Polioptilidae (Gnatcatchers)	27107	Matute Birding Nature Reserve	CO-BOL	01-Apr-25	L24053056	S222264034		1
1725	1231	17452	species	Tropical Kingbird	Tyran mlancolique	Tyrannus melancholicus	Passeriformes	Tyrannidae (Tyrant Flycatchers)	17452	Crooked Tree Village	BZ-BZ	28-Nov-11	L2084266	S15367479		1
1792	1595	28101	species	Tropical Mockingbird	Moqueur des savanes	Mimus gilvus	Passeriformes	Mimidae (Mockingbirds and Thrashers)	28101	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
575	1874	34066	species	Tropical Parula	Paruline  joues noires	Setophaga pitiayumi	Passeriformes	Parulidae (New World Warblers)	34066	Tandayapa--San Jorge Tandayapa	EC-P	06-Apr-19	L1907810	S54617813		1
977	1119	16101	species	Tropical Royal Flycatcher	Porte-ventail roi	Onychorhynchus coronatus	Passeriformes	Onychorhynchidae (Royal Flycatchers and Allies)	16101	Summit Ponds	PA-8	23-Nov-16	L589165	S32684684		1
1095	727	8810	species	Tropical Screech-Owl	Petit-duc choliba	Megascops choliba	Strigiformes	Strigidae (Owls)	8810	Camino a La Mesa	PA-2	11-Nov-16	L2149551	S32494405		1
1425	779	9704	species	Trumpeter Hornbill	Calao trompette	Bycanistes bucinator	Bucerotiformes	Bucerotidae (Hornbills)	9704	Kruger NP--Skukuza Camp (Camp only; please use more precise hotspots for drives)	ZA-MP	27-Sep-14	L951360	S20389946		1
1507	20	382	species	Trumpeter Swan	Cygne trompette	Cygnus buccinator	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"	382	Burlington--LaSalle Park/Marina	CA-ON	05-May-14	L168802	S18234413		1
747	254	4440	species	Tufted Coquette	Coquette huppe-col	Lophornis ornatus	Apodiformes	Trochilidae (Hummingbirds)	4440	Asa Wright Nature Center	TT-TUP	06-Apr-18	L40158136	S44312870		1
622	58	687	species	Tufted Duck	Fuligule morillon	Aythya fuligula	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"	687	Jete et Port des Pquis	CH-GE	02-Feb-19	L926699	S52289929		1
1069	1177	16883	species	Tufted Flycatcher	Moucherolle hupp	Mitrephanes phaeocercus	Passeriformes	Tyrannidae (Tyrant Flycatchers)	16883	Canopy Lodge	PA-2	12-Nov-16	L604642	S32519275		1
608	1157	16609	species	Tufted Tit-Tyrant	Taurillon msange	Anairetes parulus	Passeriformes	Tyrannidae (Tyrant Flycatchers)	16609	San Jorge Ecolodge (Quito)	EC-P	03-Apr-19	L895012	S54519444		1
898	1451	22160	species	Tufted Titmouse	Msange bicolore	Baeolophus bicolor	Passeriformes	"Paridae (Tits, Chickadees, and Titmice)"	22160	Magee Marsh--Boardwalk	US-OH	02-May-17	L275986	S36506146		1
1132	21	384	species	Tundra Swan	Cygne siffleur	Cygnus columbianus	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"	384	Old Wives Lake Migratory Bird Sanctuary and IBA	CA-SK	13-Oct-15	L717463	S25406399		1
1841	636	7815	species	Turkey Vulture	Urubu  tte rouge	Cathartes aura	Cathartiformes	Cathartidae (New World Vultures)	7815	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
489	1987	35147	species	Turquoise Dacnis	Dacnis de Hartlaub	Dacnis hartlaubi	Passeriformes	Thraupidae (Tanagers and Allies)	35147	Laguna de Pedro Palo	CO-CUN	15-Nov-19	L1156336	S61468916		1
2041	1411	21210	species	Turquoise Jay	Geai turquoise	Cyanolyca turcosa	Passeriformes	"Corvidae (Crows, Jays, and Magpies)"	21210	Tandayapa-Bellavista general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists)	EC-P	02-Jul-04	L5130044	S102099845		1
61	930	12442	species	Turquoise Parrot	Perruche turquoisine	Neophema pulchella	Psittaciformes	Psittaculidae (Old World Parrots)	12442	Warby-Ovens National Park--Nason Springs	AU-VIC	11-Nov-25	L2904903	S283947043		1
717	1980	35058	species	Turquoise Tanager	Calliste diable-enrhum	Tangara mexicana	Passeriformes	Thraupidae (Tanagers and Allies)	35058	Aripo Savannah--Cumuto Road	TT-SGE	10-Apr-18	L652732	S44449217		1
757	795	9901	species	Turquoise-browed Motmot	Motmot  sourcils bleus	Eumomota superciliosa	Coraciiformes	Momotidae (Motmots)	9901	Camino Nuevo Tekal	MX-YUC	21-Dec-17	L4211106	S41227132		1
194	962	12984	species	Turquoise-winged Parrotlet	Toui de Spengel	Forpus spengeli	Psittaciformes	Psittacidae (New World and African Parrots)	12984	Agrcola Camelias	CO-BOL	02-Apr-25	L15083845	S222468822		1
249	1368	19977	species	Tylas Vanga	Tylas  tte noire	Tylas eduardi	Passeriformes	"Vangidae (Vangas, Helmetshrikes, and Allies)"	19977	Ranomafana NP--Telatekely	MG-F	09-Nov-24	L3341582	S202373983		1
1228	1035	14642	species	Tyrannine Woodcreeper	Grimpar tyran	Dendrocincla tyrannina	Passeriformes	Furnariidae (Ovenbirds and Woodcreepers)	14642	Reserva Ecolgica Ro Blanco--Lodge	CO-CAL	18-Dec-14	L1252500	S20954319		1
612	264	4542	species	Tyrian Metaltail	Mtallure meraude	Metallura tyrianthina	Apodiformes	Trochilidae (Hummingbirds)	4542	San Jorge Ecolodge (Quito)	EC-P	03-Apr-19	L895012	S54519444		1
365	352	5432	species	Uniform Crake	Rle concolore	Amaurolimnas concolor	Gruiformes	"Rallidae (Rails, Gallinules, and Coots)"	5432	Sendero Bogarn	CR-A	09-Jun-22	L3220631	S112605875		1
681	426	6009	species	Upland Sandpiper	Maubche des champs	Bartramia longicauda	Charadriiformes	Scolopacidae (Sandpipers and Allies)	6009	Lake Francis PWMA--Twin Beach Rd.	CA-MB	27-Jun-18	L1148802	S46842671		1
1692	2016	35560	species	Variable Seedeater	Sporophile variable	Sporophila corvina	Passeriformes	Thraupidae (Tanagers and Allies)	35560	Blue Hole National Park	BZ-CY	01-Dec-11	L2381840	S15367650		1
765	222	3897	species	Vaux's Swift	Martinet de Vaux	Chaetura vauxi	Apodiformes	Apodidae (Swifts)	3897	Playa Los Dos Compadres	MX-ROO	16-Dec-17	L3530195	S41139758		1
1603	1609	28313	species	Veery	Grive fauve	Catharus fuscescens	Passeriformes	Turdidae (Thrushes and Allies)	28313	Point Pelee NP* general (use more precise loc.)	CA-ON	02-May-13	L131153	S15364735		1
242	983	13300	species	Velvet Asity	Philpitte veloute	Philepitta castanea	Passeriformes	Philepittidae (Asities)	13300	Ranomafana NP--Varibolo	MG-F	10-Nov-24	L6342105	S201992206		1
565	283	4676	species	Velvet-purple Coronet	Colibri de Jardine	Boissonneaua jardini	Apodiformes	Trochilidae (Hummingbirds)	4676	Reserva Mashpi-Amagusa (Sergio y Doris)	EC-P	07-Apr-19	L3175551	S54680739		1
1020	1093	15733	species	Velvety Manakin	Manakin velout	Lepidothrix velutina	Passeriformes	Pipridae (Manakins)	15733	Panama Rainforest Discovery Center	PA-3	17-Nov-16	L454707	S32596489		1
699	1214	17307	species	Venezuelan Flycatcher	Tyran du Venezuela	Myiarchus venezuelensis	Passeriformes	Tyrannidae (Tyrant Flycatchers)	17307	Cuffie River Nature Retreat	TT-TOB	13-Apr-18	L470121	S44526821		1
1041	249	4393	species	Veraguan Mango	Mango de Veraguas	Anthracothorax veraguensis	Apodiformes	Trochilidae (Hummingbirds)	4393	"8.3423x-80.2152 - Nov 14, 2016, 11:03 AM"	PA-2	14-Nov-16	L5082475	S32557121		1
152	1920	34514	species	Vermilion Cardinal	Cardinal vermillon	Cardinalis phoeniceus	Passeriformes	Cardinalidae (Cardinals and Allies)	34514	SFF Los Flamencos--Resguardo Perratpu/Boca de Camarones	CO-LAG	09-Apr-25	L2080823	S224053174		1
1810	1196	17029	species	Vermilion Flycatcher	Moucherolle vermillon	Pyrocephalus rubinus	Passeriformes	Tyrannidae (Tyrant Flycatchers)	17029	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
215	183	3065	species	Verreaux's Coua	Coua de Verreaux	Coua verreauxi	Cuculiformes	Cuculidae (Cuckoos)	3065	"Route Sans Nom, Atsimo-Andrefana, MG (-23,527, 43,759)"	MG-U	14-Nov-24	L38019029	S202475933		1
1912	735	8966	species	Verreaux's Eagle-Owl	Grand-duc de Verreaux	Ketupa lactea	Strigiformes	Strigidae (Owls)	8966	Etosha NP* general (use more precise loc.)	NA-OT	04-Jun-07	L2428142	S102122144		1
1510	1786	33217	species	Vesper Sparrow	Bruant vespral	Pooecetes gramineus	Passeriformes	Passerellidae (New World Sparrows)	33217	Mersea Rd 21 fields	CA-ON	04-May-14	L2817016	S18224357		1
1373	1699	31454	species	Village Indigobird	Combassou du Sngal	Vidua chalybeata	Passeriformes	Viduidae (Whydahs and Indigobirds)	31454	St Lucia--iMfolozi River mouth	ZA-NL	02-Oct-14	L4209873	S20565478		1
1396	1674	30843	species	Village Weaver	Tisserin gendarme	Ploceus cucullatus	Passeriformes	Ploceidae (Weavers and Allies)	30843	Nhlangano	SZ-SH	30-Sep-14	L3159754	S20523644		1
742	1722	32026	species	Violaceous Euphonia	Organiste teit	Euphonia violacea	Passeriformes	"Fringillidae (Finches, Euphonias, and Allies)"	32026	Asa Wright Nature Center	TT-TUP	06-Apr-18	L40158136	S44312870		1
2057	315	4952	species	Violet Sabrewing	Campyloptre violet	Campylopterus hemileucurus	Apodiformes	Trochilidae (Hummingbirds)	4952	La Paz Waterfall Gardens	CR-H	20-Jul-03	L445844	S102217407		1
1007	343	5205	species	Violet-bellied Hummingbird	Colibri de Julie	Chlorestes julie	Apodiformes	Trochilidae (Hummingbirds)	5205	Canopy Tower	PA-8	18-Nov-16	L454638	S32610424		1
1917	1693	31358	species	Violet-eared Waxbill	Cordonbleu grenadin	Granatina granatina	Passeriformes	Estrildidae (Waxbills and Allies)	31358	Etosha NP* general (use more precise loc.)	NA-OT	04-Jun-07	L2428142	S102122621		1
1096	313	4931	species	Violet-headed Hummingbird	Colibri  tte violette	Klais guimeti	Apodiformes	Trochilidae (Hummingbirds)	4931	Camino a La Mesa	PA-2	11-Nov-16	L2149551	S32494405		1
2049	258	4478	species	Violet-tailed Sylph	Sylphe  queue violette	Aglaiocercus coelestis	Apodiformes	Trochilidae (Hummingbirds)	4478	Tandayapa-Bellavista general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists)	EC-P	02-Jul-04	L5130044	S102099845		1
688	347	5297	species	Virginia Rail	Rle de Virginie	Rallus limicola	Gruiformes	"Rallidae (Rails, Gallinules, and Coots)"	5297	MacGregor Point Provincial Park--Tower Trail	CA-ON	08-May-18	L2143880	S45466919		1
1272	265	4552	species	Viridian Metaltail	Mtallure verte	Metallura williami	Apodiformes	Trochilidae (Hummingbirds)	4552	PNN Los Nevados--Centro de Visitantes La Cueva	CO-CAL	17-Dec-14	L7895434	S20941471		1
421	303	4852	species	Volcano Hummingbird	Colibri flammule	Selasphorus flammula	Apodiformes	Trochilidae (Hummingbirds)	4852	Paraiso Quetzal Lodge - Km 70	CR-SJ	03-Jun-22	L1457094	S112058480		1
408	1780	33157	species	Volcano Junco	Junco des volcans	Junco vulcani	Passeriformes	Passerellidae (New World Sparrows)	33157	PN Los Quetzales--Cerro Buenavista communication towers	CR-SJ	03-Jun-22	L1126301	S112058530		1
1984	776	9676	species	Von der Decken's Hornbill	Calao de der Decken	Tockus deckeni	Bucerotiformes	Bucerotidae (Hornbills)	9676	Serengeti NP--Seronera	TZ-13	12-Aug-05	L1327024	S15379241		1
1415	667	8044	species	Wahlberg's Eagle	Aigle de Wahlberg	Hieraaetus wahlbergi	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8044	Kruger NP--southern section (please be more specific)	ZA-MP	28-Sep-14	L972510	S20390197		1
655	444	6134	species	Wandering Tattler	Chevalier errant	Tringa incana	Charadriiformes	Scolopacidae (Sandpipers and Allies)	6134	"Liliuokalani Gardens, Coconut Island and Banyan Drive Hilo"	US-HI	29-Oct-18	L3006267	S49551078		1
658	1514	25630	species	Warbling White-eye	Zostrops du Japon	Zosterops japonicus	Passeriformes	"Zosteropidae (White-eyes, Yuhinas, and Allies)"	25630	Samuel M. Spencer Beach Park and Puukohola Heiau	US-HI	28-Oct-18	L330906	S49532050	N	1
1446	382	5747	species	Water Thick-knee	Oedicnme vermicul	Burhinus vermiculatus	Charadriiformes	Burhinidae (Thick-knees)	5747	Kruger NP--Letaba-Olifants Rd	ZA-LP	26-Sep-14	L2355950	S20351042		1
1319	378	5712	species	Wattled Crane	Grue caroncule	Grus carunculatus	Gruiformes	Gruidae (Cranes)	5712	Moremi--Khwai River (north side)	BW-NW	13-Oct-14	L1220375	S20696955		1
1300	423	5989	species	Wattled Jacana	Jacana noir	Jacana jacana	Charadriiformes	Jacanidae (Jacanas)	5989	Represa Cameguadua	CO-CAL	16-Dec-14	L3786045	S20932040		1
1418	410	5876	species	Wattled Lapwing	Vanneau du Sngal	Vanellus senegallus	Charadriiformes	Charadriidae (Plovers and Lapwings)	5876	Kruger NP--southern section (please be more specific)	ZA-MP	28-Sep-14	L972510	S20390197		1
1978	1578	27828	species	Wattled Starling	tourneau caroncul	Creatophora cinerea	Passeriformes	Sturnidae (Starlings)	27828	Serengeti NP--Seronera	TZ-13	12-Aug-05	L1327024	S15379241		1
2035	538	6986	species	Waved Albatross	Albatros des Galapagos	Phoebastria irrorata	Procellariiformes	Diomedeidae (Albatrosses)	6986	Espaola--Baha Gardner	EC-W	06-Jul-04	L471682	S102080263		1
1089	1039	14683	species	Wedge-billed Woodcreeper	Grimpar bec-en-coin	Glyphorynchus spirurus	Passeriformes	Furnariidae (Ovenbirds and Woodcreepers)	14683	Camino a La Mesa	PA-2	11-Nov-16	L2149551	S32494405		1
811	670	8061	species	Wedge-tailed Eagle	Aigle d'Australie	Aquila audax	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8061	Point Cook Coastal Park--The Tower	AU-VIC	21-Oct-17	L3025678	S40053163		1
1855	312	4926	species	Wedge-tailed Sabrewing	Campyloptre pampa	Pampa curvipennis	Apodiformes	Trochilidae (Hummingbirds)	4926	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
112	1294	18281	species	Weebill	Sricorne  bec court	Smicrornis brevirostris	Passeriformes	Acanthizidae (Thornbills and Allies)	18281	Ikara-Flinders Ranges National Park--Brachina Gorge Lookout	AU-SA	05-Nov-25	L4913364	S282936967		1
878	1499	24184	species	Welcome Swallow	Hirondelle messagre	Hirundo neoxena	Passeriformes	Hirundinidae (Swallows)	24184	Royal Botanic Gardens (Sydney)	AU-NSW	07-Oct-17	L915566	S39591405		1
1577	1598	28136	species	Western Bluebird	Merlebleu de l'Ouest	Sialia mexicana	Passeriformes	Turdidae (Thrushes and Allies)	28136	Point Loma--general area	US-CA	13-Oct-13	L109307	S15396825		1
2025	616	7724	species	Western Cattle-Egret	Hron garde-boeufs	Ardea ibis	Pelecaniformes	"Ardeidae (Herons, Egrets, and Bitterns)"	7724	Hotel Tinalandia	EC-SD	10-Jul-04	L489494	S102090106		1
1172	311	4914	species	Western Emerald	meraude  bec noir	Chlorostilbon melanorhynchus	Apodiformes	Trochilidae (Hummingbirds)	4914	Recinto del Pensamiento	CO-CAL	20-Dec-14	L3228404	S20966802		1
71	1309	18488	species	Western Gerygone	Grygone  queue blanche	Gerygone fusca	Passeriformes	Acanthizidae (Thornbills and Allies)	18488	Pretty Pine	AU-NSW	10-Nov-25	L2541584	S283802736		1
1547	528	6888	species	Western Grebe	Grbe lgant	Aechmophorus occidentalis	Podicipediformes	Podicipedidae (Grebes)	6888	Cabrillo National Monument	US-CA	17-Oct-13	L280562	S15428469		1
1573	493	6528	species	Western Gull	Goland d'Audubon	Larus occidentalis	Charadriiformes	"Laridae (Gulls, Terns, and Skimmers)"	6528	Sunset Cliffs--pullouts	US-CA	13-Oct-13	L386081	S15396965		1
1439	1501	24214	species	Western House-Martin	Hirondelle de fentre	Delichon urbicum	Passeriformes	Hirundinidae (Swallows)	24214	Kruger NP--Letaba-Olifants Rd	ZA-LP	26-Sep-14	L2355950	S20351042		1
683	1234	17467	species	Western Kingbird	Tyran de l'Ouest	Tyrannus verticalis	Passeriformes	Tyrannidae (Tyrant Flycatchers)	17467	Oak Hammock Marsh PWMA	CA-MB	26-Jun-18	L17696	S46813770		1
