ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
623124882,Photo,Chipping Sparrow,Spizella passerina,,,Denis Rivard,2024-08-21,2024,8,21,1047,Canada,CA-QC-BM,Quebec,Brome-Missisquoi,"Cimetière, Phillipsburg",45.0304081,-73.0791450,Juvenile – 1,,Unspecified,false,false,,,,,,,S192260893,"",,,,,Spizella passerina,chispa,Species,32990,,3.00,1,,1688,3000
623124404,Photo,Cape May Warbler,Setophaga tigrina,,,Denis Rivard,2024-08-29,2024,8,29,1106,Canada,CA-ON-OT,Ontario,Ottawa,Britannia CA (general location),45.3711229,-75.7915535,"",,Unspecified,false,false,,,,,,,S193189708,"",,,,,Setophaga tigrina,camwar,Species,34060,,3.00,1,,1688,3000
623085334,Photo,Red-eyed Vireo,Vireo olivaceus,,,Denis Rivard,2024-08-29,2024,8,29,1106,Canada,CA-ON-OT,Ontario,Ottawa,Britannia CA (general location),45.3711229,-75.7915535,"",,Unspecified,false,false,,,,,,,S193189708,"",,,,,Vireo olivaceus,reevir1,Species,19267,,4.50,2,,1688,3000
623085108,Photo,Cape May Warbler,Setophaga tigrina,,,Denis Rivard,2024-08-29,2024,8,29,1106,Canada,CA-ON-OT,Ontario,Ottawa,Britannia CA (general location),45.3711229,-75.7915535,"",,Unspecified,false,false,,,,,,,S193189708,"",,,,,Setophaga tigrina,camwar,Species,34060,,3.00,1,,3000,3000
623054626,Photo,Mallard,Anas platyrhynchos,,,Denis Rivard,2024-08-28,2024,8,28,858,Canada,CA-ON-OT,Ontario,Ottawa,Britannia CA--Mud Lake,45.3717546,-75.7948728,"",,Unspecified,false,false,,,,,,,S193061076,"",,,,,Anas platyrhynchos,mallar3,Species,545,,4.00,2,,1687,3000
623054438,Photo,Bay-breasted Warbler,Setophaga castanea,,,Denis Rivard,2024-08-28,2024,8,28,858,Canada,CA-ON-OT,Ontario,Ottawa,Britannia CA--Mud Lake,45.3717546,-75.7948728,"",,Unspecified,false,false,,,,,,,S193061076,"",,,,,Setophaga castanea,babwar,Species,34083,,.00,0,,1688,3000
623054316,Photo,Bay-breasted Warbler,Setophaga castanea,,,Denis Rivard,2024-08-28,2024,8,28,858,Canada,CA-ON-OT,Ontario,Ottawa,Britannia CA--Mud Lake,45.3717546,-75.7948728,"",,Unspecified,false,false,,,,,,,S193061076,"",,,,,Setophaga castanea,babwar,Species,34083,,.00,0,,1688,3000
623054090,Photo,Red-eyed Vireo,Vireo olivaceus,,,Denis Rivard,2024-08-28,2024,8,28,858,Canada,CA-ON-OT,Ontario,Ottawa,Britannia CA--Mud Lake,45.3717546,-75.7948728,"",,Unspecified,false,false,,,,,,,S193061076,"",,,,,Vireo olivaceus,reevir1,Species,19267,,3.00,1,,1688,3000
623053989,Photo,Cape May Warbler,Setophaga tigrina,,,Denis Rivard,2024-08-28,2024,8,28,858,Canada,CA-ON-OT,Ontario,Ottawa,Britannia CA--Mud Lake,45.3717546,-75.7948728,"",,Unspecified,false,false,,,,,,,S193061076,"",,,,,Setophaga tigrina,camwar,Species,34060,,.00,0,,1687,3000
623053838,Photo,Yellow-rumped Warbler,Setophaga coronata,,,Denis Rivard,2024-08-28,2024,8,28,858,Canada,CA-ON-OT,Ontario,Ottawa,Britannia CA--Mud Lake,45.3717546,-75.7948728,"","",Unspecified,"","",,,,,,,S193061076,"",,,,,Setophaga coronata,yerwar,Species,34159,,4.50,2,Watermark,1687,3000
623053761,Photo,Nashville Warbler,Leiothlypis ruficapilla,,,Denis Rivard,2024-08-28,2024,8,28,858,Canada,CA-ON-OT,Ontario,Ottawa,Britannia CA--Mud Lake,45.3717546,-75.7948728,"",,Unspecified,false,false,,,,,,,S193061076,"",,,,,Leiothlypis ruficapilla,naswar,Species,33981,,5.00,1,,1688,3000
623053394,Photo,Spotted Sandpiper,Actitis macularius,,,Denis Rivard,2024-08-28,2024,8,28,858,Canada,CA-ON-OT,Ontario,Ottawa,Britannia CA--Mud Lake,45.3717546,-75.7948728,"",,Unspecified,false,false,,,,,,,S193061076,"",,,,,Actitis macularius,sposan,Species,6126,,4.00,1,,1687,3000
623053247,Photo,Eastern Phoebe,Sayornis phoebe,,,Denis Rivard,2024-08-28,2024,8,28,858,Canada,CA-ON-OT,Ontario,Ottawa,Britannia CA--Mud Lake,45.3717546,-75.7948728,"",,Unspecified,false,false,,,,,,,S193061076,"",,,,,Sayornis phoebe,easpho,Species,17007,,3.00,2,,1688,3000
623052981,Photo,Northern Cardinal,Cardinalis cardinalis,,,Denis Rivard,2024-08-28,2024,8,28,858,Canada,CA-ON-OT,Ontario,Ottawa,Britannia CA--Mud Lake,45.3717546,-75.7948728,"","",Unspecified,"","",,,,,,,S193061076,"",,,,,Cardinalis cardinalis,norcar,Species,34515,,3.00,1,Molting,1687,3000
623010868,Photo,Red-eyed Vireo,Vireo olivaceus,,,Denis Rivard,2024-08-21,2024,8,21,1047,Canada,CA-QC-BM,Quebec,Brome-Missisquoi,"Cimetière, Phillipsburg",45.0304081,-73.0791450,"",,Unspecified,false,false,,,,,,,S192260893,"",,,,,Vireo olivaceus,reevir1,Species,19267,,3.00,1,,1687,3000
623010642,Photo,Solitary Sandpiper,Tringa solitaria,,,Denis Rivard,2024-08-20,2024,8,20,1215,Canada,CA-QC-HR,Quebec,Le Haut-Richelieu,"Quai municipal, Venise-en-Québec",45.0825513,-73.1477022,"",,Unspecified,false,false,,,,,,,S192270381,"",,,,,Tringa solitaria,solsan,Species,6129,,5.00,2,,1687,3000
623010548,Photo,Spotted Sandpiper,Actitis macularius,,,Denis Rivard,2024-08-20,2024,8,20,1215,Canada,CA-QC-HR,Quebec,Le Haut-Richelieu,"Quai municipal, Venise-en-Québec",45.0825513,-73.1477022,"",,Unspecified,false,false,,,,,,,S192270381,"",,,,,Actitis macularius,sposan,Species,6126,,3.00,1,,1688,3000
623009355,Photo,Wood Duck,Aix sponsa,,,Denis Rivard,2024-08-27,2024,8,27,1026,Canada,CA-QC-VS,Quebec,Vaudreuil-Soulanges,Etang Aird,45.4724478,-74.1926426,"",,Unspecified,false,false,,,,,,,S192969861,"",,,,,Aix sponsa,wooduc,Species,455,,3.00,1,,1688,3000
623009109,Photo,Green Heron,Butorides virescens,,,Denis Rivard,2024-08-27,2024,8,27,1026,Canada,CA-QC-VS,Quebec,Vaudreuil-Soulanges,Etang Aird,45.4724478,-74.1926426,"",,Unspecified,false,false,,,,,,,S192969861,"",,,,,Butorides virescens,grnher,Species,7704,,.00,0,,1687,3000
623008947,Photo,Great Egret,Ardea alba,,,Denis Rivard,2024-08-27,2024,8,27,1026,Canada,CA-QC-VS,Quebec,Vaudreuil-Soulanges,Etang Aird,45.4724478,-74.1926426,"",,Unspecified,false,false,,,,,,,S192969861,"",,,,,Ardea alba,greegr,Species,7729,,.00,0,,1688,3000
623008835,Photo,Green-winged Teal,Anas crecca,,,Denis Rivard,2024-08-27,2024,8,27,1026,Canada,CA-QC-VS,Quebec,Vaudreuil-Soulanges,Etang Aird,45.4724478,-74.1926426,"",,Unspecified,false,false,,,,,,,S192969861,"",,,,,Anas crecca,gnwtea,Species,612,,3.00,1,,1687,3000
623008515,Photo,Mallard,Anas platyrhynchos,,,Denis Rivard,2024-08-27,2024,8,27,1026,Canada,CA-QC-VS,Quebec,Vaudreuil-Soulanges,Etang Aird,45.4724478,-74.1926426,"",,Unspecified,false,false,,,,,,,S192969861,"",,,,,Anas platyrhynchos,mallar3,Species,545,,3.00,1,,1687,3000
623008290,Photo,Snowy Egret,Egretta thula,,,Denis Rivard,2024-08-27,2024,8,27,1026,Canada,CA-QC-VS,Quebec,Vaudreuil-Soulanges,Etang Aird,45.4724478,-74.1926426,"",,Unspecified,false,false,,,,,,,S192969861,"",,,,Photo,Egretta thula,snoegr,Species,7645,,5.00,1,,1688,3000
623008064,Photo,Great Egret,Ardea alba,,,Denis Rivard,2024-08-27,2024,8,27,1026,Canada,CA-QC-VS,Quebec,Vaudreuil-Soulanges,Etang Aird,45.4724478,-74.1926426,"",,Unspecified,false,false,,,,,,,S192969861,"",,,,,Ardea alba,greegr,Species,7729,,.00,0,,1688,3000
623007902,Photo,Green Heron,Butorides virescens,,,Denis Rivard,2024-08-27,2024,8,27,1026,Canada,CA-QC-VS,Quebec,Vaudreuil-Soulanges,Etang Aird,45.4724478,-74.1926426,"",,Unspecified,false,false,,,,,,,S192969861,"",,,,,Butorides virescens,grnher,Species,7704,,.00,0,,1688,3000
623007644,Photo,Great Blue Heron,Ardea herodias,,,Denis Rivard,2024-08-27,2024,8,27,1026,Canada,CA-QC-VS,Quebec,Vaudreuil-Soulanges,Etang Aird,45.4724478,-74.1926426,"",,Unspecified,false,false,,,,,,,S192969861,"",,,,,Ardea herodias,grbher3,Species,7753,,.00,0,,1687,3000
622961569,Photo,Blue Jay,Cyanocitta cristata,,,Denis Rivard,2024-08-22,2024,8,22,1425,Canada,CA-QC-HY,Quebec,La Haute-Yamaska,"Centre d'interprétation de la nature du Lac-Boivin",45.4126479,-72.6885509,"",,Unspecified,false,false,,,,,,,S192390937,"",,,,,Cyanocitta cristata,blujay,Species,21294,,3.00,1,,1687,3000
622961510,Photo,Wood Duck,Aix sponsa,,,Denis Rivard,2024-08-22,2024,8,22,1425,Canada,CA-QC-HY,Quebec,La Haute-Yamaska,"Centre d'interprétation de la nature du Lac-Boivin",45.4126479,-72.6885509,"",,Unspecified,false,false,,,,,,,S192390937,"",,,,,Aix sponsa,wooduc,Species,455,,.00,0,,1687,3000
622960280,Photo,Ruby-throated Hummingbird,Archilochus colubris,,,Denis Rivard,2024-08-23,2024,8,23,1039,Canada,CA-QC-SH,Quebec,Sherbrooke,Marais Réal-D.-Carbonneau,45.4191783,-71.8995094,"",,Unspecified,false,false,,,,,,,S192478031,"",,,,,Archilochus colubris,rthhum,Species,4802,,.00,0,,1688,3000
622960045,Photo,Canada Warbler,Cardellina canadensis,,,Denis Rivard,2024-08-23,2024,8,23,1039,Canada,CA-QC-SH,Quebec,Sherbrooke,Marais Réal-D.-Carbonneau,45.4191783,-71.8995094,"","",Unspecified,"","",,,,,,,S192478031,"",,,,,Cardellina canadensis,canwar,Species,34344,,4.00,2,Watermark,1688,3000
622959869,Photo,Merlin,Falco columbarius,,,Denis Rivard,2024-08-23,2024,8,23,1039,Canada,CA-QC-SH,Quebec,Sherbrooke,Marais Réal-D.-Carbonneau,45.4191783,-71.8995094,Immature – 1,,Unspecified,false,false,,,,,,,S192478031,"",,,,,Falco columbarius,merlin,Species,12062,,.00,0,,1688,3000
622959661,Photo,Marsh Wren,Cistothorus palustris,,,Denis Rivard,2024-08-23,2024,8,23,1039,Canada,CA-QC-SH,Quebec,Sherbrooke,Marais Réal-D.-Carbonneau,45.4191783,-71.8995094,"",,Unspecified,false,false,,,,,,,S192478031,"",,,,,Cistothorus palustris,marwre,Species,27329,,3.00,1,,1688,3000
622959515,Photo,Song Sparrow,Melospiza melodia,,,Denis Rivard,2024-08-23,2024,8,23,1039,Canada,CA-QC-SH,Quebec,Sherbrooke,Marais Réal-D.-Carbonneau,45.4191783,-71.8995094,Juvenile – 1,,Unspecified,false,false,,,,,,,S192478031,"",,,,,Melospiza melodia,sonspa,Species,33277,,.00,0,,1688,3000
622959317,Photo,Least Bittern,Botaurus exilis,,,Denis Rivard,2024-08-23,2024,8,23,1039,Canada,CA-QC-SH,Quebec,Sherbrooke,Marais Réal-D.-Carbonneau,45.4191783,-71.8995094,"",,Unspecified,false,false,,,,,,,S192478031,"",,,,,Botaurus exilis,leabit,Species,7565,,5.00,1,,1688,3000
622959169,Photo,Yellow-bellied Sapsucker,Sphyrapicus varius,,,Denis Rivard,2024-07-12,2024,7,12,1032,Canada,CA-ON-SD,Ontario,"Stormont, Dundas and Glengarry",Cooper Marsh CA (Marais de Cooper),45.1149047,-74.5146418,Adult Male – 1,,Unspecified,false,false,,,,,,,S186621954,"",,,,,Sphyrapicus varius,yebsap,Species,11126,,3.00,3,,1687,3000
622959021,Photo,Red-eyed Vireo,Vireo olivaceus,,,Denis Rivard,2024-07-12,2024,7,12,1032,Canada,CA-ON-SD,Ontario,"Stormont, Dundas and Glengarry",Cooper Marsh CA (Marais de Cooper),45.1149047,-74.5146418,"",,Unspecified,false,false,,,,,,,S186621954,"",,,,,Vireo olivaceus,reevir1,Species,19267,,5.00,1,,1687,3000
622958830,Photo,Yellow-bellied Sapsucker,Sphyrapicus varius,,,Denis Rivard,2024-07-12,2024,7,12,1032,Canada,CA-ON-SD,Ontario,"Stormont, Dundas and Glengarry",Cooper Marsh CA (Marais de Cooper),45.1149047,-74.5146418,Juvenile – 1,,Unspecified,false,false,,,,,,,S186621954,"",,,,,Sphyrapicus varius,yebsap,Species,11126,,3.00,2,,1688,3000
622958610,Photo,Yellow-bellied Sapsucker,Sphyrapicus varius,,,Denis Rivard,2024-07-12,2024,7,12,1032,Canada,CA-ON-SD,Ontario,"Stormont, Dundas and Glengarry",Cooper Marsh CA (Marais de Cooper),45.1149047,-74.5146418,Adult Female – 1,,Unspecified,false,false,,,,,,,S186621954,"",,,,,Sphyrapicus varius,yebsap,Species,11126,,3.00,3,,1688,3000
622958533,Photo,Osprey,Pandion haliaetus,,,Denis Rivard,2024-07-12,2024,7,12,1032,Canada,CA-ON-SD,Ontario,"Stormont, Dundas and Glengarry",Cooper Marsh CA (Marais de Cooper),45.1149047,-74.5146418,"",,Unspecified,false,false,,,,,,,S186621954,"",,,,,Pandion haliaetus,osprey,Species,7832,,.00,0,,1688,3000
622958425,Photo,Green Heron,Butorides virescens,,,Denis Rivard,2024-07-12,2024,7,12,1032,Canada,CA-ON-SD,Ontario,"Stormont, Dundas and Glengarry",Cooper Marsh CA (Marais de Cooper),45.1149047,-74.5146418,"",,Unspecified,false,false,,,,,,,S186621954,"",,,,,Butorides virescens,grnher,Species,7704,,5.00,2,,1688,3000
622958347,Photo,Common Yellowthroat,Geothlypis trichas,,,Denis Rivard,2024-07-12,2024,7,12,1032,Canada,CA-ON-SD,Ontario,"Stormont, Dundas and Glengarry",Cooper Marsh CA (Marais de Cooper),45.1149047,-74.5146418,"",,Unspecified,false,false,,,,,,,S186621954,"",,,,Vd,Geothlypis trichas,comyel,Species,34028,,.00,0,,1688,3000
622333644,Photo,Great Blue Heron,Ardea herodias,,,Denis Rivard,2024-05-03,2024,5,3,948,United States,US-OH-095,Ohio,Lucas,Howard Marsh Metropark,41.6450689,-83.2637178,"",,Unspecified,false,false,,,,,,,S171673837,"",,,,,Ardea herodias,grbher3,Species,7753,,.00,0,,1688,3000
622333473,Photo,Savannah Sparrow,Passerculus sandwichensis,,,Denis Rivard,2024-05-03,2024,5,3,948,United States,US-OH-095,Ohio,Lucas,Howard Marsh Metropark,41.6450689,-83.2637178,"",,Unspecified,false,false,,,,,,,S171673837,"",,,,,Passerculus sandwichensis,savspa,Species,33244,,4.00,2,,1688,3000
622331671,Photo,Horned Lark,Eremophila alpestris,,,Denis Rivard,2024-05-03,2024,5,3,948,United States,US-OH-095,Ohio,Lucas,Howard Marsh Metropark,41.6450689,-83.2637178,"",,Unspecified,false,false,,,,,,,S171673837,"",,,,,Eremophila alpestris,horlar,Species,22710,,4.50,2,,1688,3000
622331570,Photo,Brown Thrasher,Toxostoma rufum,,,Denis Rivard,2024-05-02,2024,5,2,1656,United States,US-OH-095,Ohio,Lucas,Magee Marsh--Boardwalk,41.6277095,-83.1918840,"",,Unspecified,false,false,,,,,,,S174701044,"",,,,,Toxostoma rufum,brnthr,Species,28037,,4.50,2,,1688,3000
622330828,Photo,Blue-winged Warbler,Vermivora cyanoptera,,,Denis Rivard,2024-05-02,2024,5,2,1125,United States,US-OH-095,Ohio,Lucas,Magee Marsh--Goosehaven Trail (seasonal),41.6264212,-83.1921858,"",,Unspecified,false,false,,,,,,,S171521204,"",,,,,Vermivora cyanoptera,buwwar,Species,33957,,5.00,2,,1688,3000
622330654,Photo,Northern Flicker,Colaptes auratus,,,Denis Rivard,2024-05-02,2024,5,2,1125,United States,US-OH-095,Ohio,Lucas,Magee Marsh--Goosehaven Trail (seasonal),41.6264212,-83.1921858,"",,Unspecified,false,false,,,,,,,S171521204,"",,,,,Colaptes auratus,norfli,Species,11900,,5.00,2,,1688,3000
622330378,Photo,Palm Warbler,Setophaga palmarum,,,Denis Rivard,2024-05-02,2024,5,2,834,United States,US-OH-095,Ohio,Lucas,Magee Marsh--Boardwalk,41.6277095,-83.1918840,"",,Unspecified,false,false,,,,,,,S171506484,"",,,,,Setophaga palmarum,palwar,Species,34148,,5.00,2,,1687,3000
622330246,Photo,Yellow-rumped Warbler,Setophaga coronata,,,Denis Rivard,2024-05-02,2024,5,2,834,United States,US-OH-095,Ohio,Lucas,Magee Marsh--Boardwalk,41.6277095,-83.1918840,"",,Unspecified,false,false,,,,,,,S171506484,"",,,,,Setophaga coronata,yerwar,Species,34159,,4.50,2,,1687,3000
622329837,Photo,Gray Catbird,Dumetella carolinensis,,,Denis Rivard,2024-05-01,2024,5,1,1707,United States,US-OH-095,Ohio,Lucas,Magee Marsh--Boardwalk,41.6277095,-83.1918840,"",,Unspecified,false,false,,,,,,,S171397536,"",,,,,Dumetella carolinensis,grycat,Species,28000,,5.00,2,,1688,3000
622329677,Photo,Black-throated Blue Warbler,Setophaga caerulescens,,,Denis Rivard,2024-05-01,2024,5,1,825,United States,US-OH-095,Ohio,Lucas,Magee Marsh--Boardwalk,41.6277095,-83.1918840,"",,Unspecified,false,false,,,,,,,S171321449,"",,,,,Setophaga caerulescens,btbwar,Species,34141,,4.50,2,,1688,3000
622329540,Photo,Eastern Warbling Vireo,Vireo gilvus,,,Denis Rivard,2024-05-01,2024,5,1,825,United States,US-OH-095,Ohio,Lucas,Magee Marsh--Boardwalk,41.6277095,-83.1918840,"",,Unspecified,false,false,,,,,,,S171321449,"",,,,,Vireo gilvus,eawvir1,Group,19245,,5.00,2,,1687,3000
622328465,Photo,Song Sparrow,Melospiza melodia,,,Denis Rivard,2024-05-01,2024,5,1,825,United States,US-OH-095,Ohio,Lucas,Magee Marsh--Boardwalk,41.6277095,-83.1918840,"",,Unspecified,false,false,,,,,,,S171321449,"",,,,,Melospiza melodia,sonspa,Species,33277,,.00,0,,1688,3000
622328215,Photo,Red-headed Woodpecker,Melanerpes erythrocephalus,,,Denis Rivard,2024-04-30,2024,4,30,1359,United States,US-OH-095,Ohio,Lucas,Maumee Bay SP--Park Rd. 4 Area,41.6788659,-83.3740318,"",,Unspecified,false,false,,,,,,,S171173389,"",,,,,Melanerpes erythrocephalus,rehwoo,Species,11145,,.00,0,,1687,3000
622328041,Photo,Eastern Whip-poor-will,Antrostomus vociferus,,,Denis Rivard,2024-04-30,2024,4,30,1131,United States,US-OH-095,Ohio,Lucas,Magee Marsh--Boardwalk,41.6277095,-83.1918840,"",,Unspecified,false,false,,,,,,,S171146049,"",,,,,Antrostomus vociferus,easwpw1,Species,3614,,5.00,3,,1688,3000
622327951,Photo,Prothonotary Warbler,Protonotaria citrea,,,Denis Rivard,2024-04-30,2024,4,30,902,United States,US-OH-095,Ohio,Lucas,Ottawa NWR--Crane Creek Estuary Trail,41.6310555,-83.1958526,"",,Unspecified,false,false,,,,,,,S171136268,"",,,,,Protonotaria citrea,prowar,Species,33963,,.00,0,,1688,3000
622327812,Photo,Black-crowned Night Heron,Nycticorax nycticorax,,,Denis Rivard,2024-04-30,2024,4,30,902,United States,US-OH-095,Ohio,Lucas,Ottawa NWR--Crane Creek Estuary Trail,41.6310555,-83.1958526,"",,Unspecified,false,false,,,,,,,S171136268,"",,,,,Nycticorax nycticorax,bcnher,Species,7600,,.00,0,,1688,3000
622208599,Photo,Rose-breasted Grosbeak,Pheucticus ludovicianus,,,Denis Rivard,2024-04-29,2024,4,29,1450,United States,US-OH-095,Ohio,Lucas,Metzger Marsh--Woodlot,41.6499748,-83.2382423,"",,Unspecified,false,false,,,,,,,S171007852,"",,,,,Pheucticus ludovicianus,robgro,Species,34557,,4.50,2,,1688,3000
622208161,Photo,Eastern Screech-Owl,Megascops asio,,,Denis Rivard,2024-04-29,2024,4,29,1046,United States,US-OH-095,Ohio,Lucas,Magee Marsh--Boardwalk,41.6277095,-83.1918840,"","",Unspecified,"","",,,,,,,S170973795,"",,,,,Megascops asio,easowl1,Species,8866,,4.00,2,Watermark,1688,3000
622207877,Photo,Eastern Screech-Owl,Megascops asio,,,Denis Rivard,2024-04-29,2024,4,29,1046,United States,US-OH-095,Ohio,Lucas,Magee Marsh--Boardwalk,41.6277095,-83.1918840,"",,Unspecified,false,false,,,,,,,S170973795,"",,,,,Megascops asio,easowl1,Species,8866,,3.00,1,,1688,3000
622207616,Photo,Bald Eagle,Haliaeetus leucocephalus,,,Denis Rivard,2024-04-29,2024,4,29,855,United States,US-OH-095,Ohio,Lucas,Howard Marsh Metropark,41.6450689,-83.2637178,"",,Unspecified,false,false,,,,,,,S170944293,"",,,,,Haliaeetus leucocephalus,baleag,Species,8367,,4.00,1,,1687,3000
622207355,Photo,Black-necked Stilt,Himantopus mexicanus,,,Denis Rivard,2024-04-29,2024,4,29,855,United States,US-OH-095,Ohio,Lucas,Howard Marsh Metropark,41.6450689,-83.2637178,"",,Unspecified,false,false,,,,,,,S170944293,"",,,,At various locations.  Nesting.  One sitting on nest.,Himantopus mexicanus,bknsti,Species,5770,,.00,0,,1688,3000
622207180,Photo,Blue-winged Teal,Spatula discors,,,Denis Rivard,2024-04-29,2024,4,29,855,United States,US-OH-095,Ohio,Lucas,Howard Marsh Metropark,41.6450689,-83.2637178,"",,Unspecified,false,false,,,,,,,S170944293,"",,,,,Spatula discors,buwtea,Species,485,,4.00,2,,1688,3000
622065834,Photo,Prothonotary Warbler,Protonotaria citrea,,,Denis Rivard,2024-05-10,2024,5,10,1159,Canada,CA-ON-ES,Ontario,Essex,Point Pelee NP--Tilden Woods Trail,41.9354075,-82.5108647,"",,Unspecified,false,false,,,,,,,S173290805,"",,,,,Protonotaria citrea,prowar,Species,33963,,4.00,1,,1688,3000
622065531,Photo,Indigo Bunting,Passerina cyanea,,,Denis Rivard,2024-05-09,2024,5,9,843,Canada,CA-ON-ES,Ontario,Essex,Wheatley--Kopegaron Woods CA,42.0779670,-82.4918747,"",,Unspecified,false,false,,,,,,,S173005548,"",,,,,Passerina cyanea,indbun,Species,34607,,2.00,1,,1688,3000
622064978,Photo,Chipping Sparrow,Spizella passerina,,,Denis Rivard,2024-05-08,2024,5,8,1719,Canada,CA-ON-ES,Ontario,Essex,Point Pelee NP--Blue Heron,41.9689624,-82.5322741,"",,Unspecified,false,false,,,,,,,S172884354,"",,,,,Spizella passerina,chispa,Species,32990,,4.50,2,,1687,3000
622064792,Photo,Black-throated Blue Warbler,Setophaga caerulescens,,,Denis Rivard,2024-05-08,2024,5,8,1719,Canada,CA-ON-ES,Ontario,Essex,Point Pelee NP--Blue Heron,41.9689624,-82.5322741,"",,Unspecified,false,false,,,,,,,S172884354,"",,,,,Setophaga caerulescens,btbwar,Species,34141,,4.50,2,,1688,3000
621325248,Photo,Swamp Sparrow,Melospiza georgiana,,,Denis Rivard,2024-05-20,2024,5,20,843,Canada,CA-QC-SH,Quebec,Sherbrooke,Marais Réal-D.-Carbonneau,45.4191783,-71.8995094,"",,Unspecified,false,false,,,,,,,S175906697,"",,,,,Melospiza georgiana,swaspa,Species,33315,,3.00,1,,1688,3000
621325164,Photo,Mallard,Anas platyrhynchos,,,Denis Rivard,2024-05-20,2024,5,20,843,Canada,CA-QC-SH,Quebec,Sherbrooke,Marais Réal-D.-Carbonneau,45.4191783,-71.8995094,"",,Unspecified,false,false,,,,,,,S175906697,"",,,,,Anas platyrhynchos,mallar3,Species,545,,3.50,2,,1688,3000
621325015,Photo,Common Grackle,Quiscalus quiscula,,,Denis Rivard,2024-05-20,2024,5,20,843,Canada,CA-QC-SH,Quebec,Sherbrooke,Marais Réal-D.-Carbonneau,45.4191783,-71.8995094,"",,Unspecified,false,false,,,,,,,S175906697,"",,,,,Quiscalus quiscula,comgra,Species,33853,,4.00,2,,1688,3000
621324951,Photo,Turkey Vulture,Cathartes aura,,,Denis Rivard,2024-05-20,2024,5,20,843,Canada,CA-QC-SH,Quebec,Sherbrooke,Marais Réal-D.-Carbonneau,45.4191783,-71.8995094,"",,Unspecified,false,false,,,,,,,S175906697,"",,,,,Cathartes aura,turvul,Species,7815,,4.00,2,,1687,3000
621248314,Photo,Marsh Wren,Cistothorus palustris,,,Denis Rivard,2024-05-20,2024,5,20,843,Canada,CA-QC-SH,Quebec,Sherbrooke,Marais Réal-D.-Carbonneau,45.4191783,-71.8995094,"",,Unspecified,false,false,,,,,,,S175906697,"",,,,,Cistothorus palustris,marwre,Species,27329,,5.00,1,,1688,3000
621246951,Photo,Canada Goose,Branta canadensis,,,Denis Rivard,2024-05-20,2024,5,20,843,Canada,CA-QC-SH,Quebec,Sherbrooke,Marais Réal-D.-Carbonneau,45.4191783,-71.8995094,"",,Unspecified,false,false,,,,,,,S175906697,"",,,,,Branta canadensis,cangoo,Species,342,,3.00,1,,1688,3000
621246762,Photo,Cedar Waxwing,Bombycilla cedrorum,,,Denis Rivard,2024-05-20,2024,5,20,843,Canada,CA-QC-SH,Quebec,Sherbrooke,Marais Réal-D.-Carbonneau,45.4191783,-71.8995094,"",,Unspecified,false,false,,,,,,,S175906697,"",,,,,Bombycilla cedrorum,cedwax,Species,29888,,.00,0,,1688,3000
621246471,Photo,Common Tern,Sterna hirundo,,,Denis Rivard,2024-05-19,2024,5,19,1430,Canada,CA-QC-NY,Quebec,Nicolet-Yamaska,Commune de la Baie-du-Febvre,46.1598231,-72.7551065,"",,Unspecified,false,false,,,,,,,S175705379,"",,,,,Sterna hirundo,comter,Species,6748,,.00,0,,1688,3000
621246138,Photo,Black Tern,Chlidonias niger,,,Denis Rivard,2024-05-19,2024,5,19,1115,Canada,CA-QC-NY,Quebec,Nicolet-Yamaska,"Baie-du-Febvre (station d'épuration, étangs & Rte Janelle)",46.1448539,-72.7305483,"",,Unspecified,false,false,,,,,,,S175655380,"",,,,,Chlidonias niger,blkter,Species,6725,,.00,0,,1688,3000
621245744,Photo,Killdeer,Charadrius vociferus,,,Denis Rivard,2024-05-19,2024,5,19,1115,Canada,CA-QC-NY,Quebec,Nicolet-Yamaska,"Baie-du-Febvre (station d'épuration, étangs & Rte Janelle)",46.1448539,-72.7305483,"",,Unspecified,false,false,,,,,,,S175655380,"",,,,,Charadrius vociferus,killde,Species,5827,,.00,0,,1687,3000
621245399,Photo,Snow Goose,Anser caerulescens,,,Denis Rivard,2024-05-19,2024,5,19,1115,Canada,CA-QC-NY,Quebec,Nicolet-Yamaska,"Baie-du-Febvre (station d'épuration, étangs & Rte Janelle)",46.1448539,-72.7305483,"",,Unspecified,false,false,,,,,,,S175655380,"",,,,,Anser caerulescens,snogoo,Species,267,,4.50,2,,1687,3000
621245128,Photo,Lesser Scaup,Aythya affinis,,,Denis Rivard,2024-05-19,2024,5,19,1025,Canada,CA-QC-NY,Quebec,Nicolet-Yamaska,"Baie-du-Febvre (station d'épuration, étangs & Rte Janelle)",46.1448539,-72.7305483,"",,Unspecified,false,false,,,,,,,S175630035,"",,,,,Aythya affinis,lessca,Species,700,,3.00,1,,1688,3000
